原文	称号或别名	译文	别名译文	曾用译名	词源读音	简介
Mount Thulbane		苏尔班火山		土尔班山		费雷斯科北部火山
Mulhorand		穆尔霍兰德			/məlˈhoʊrɑːnd/ muhl-HOH-rand	阿兰勃海国家
Mulmaster	City of Danger	穆尔玛斯特	危险之城		/ˈməlmɑːstɛr/ MUHL-mah-ster	月海地区城市
Myth Drannor	City of Song、City of Love	迷斯卓诺	歌之城、爱之城			科曼索精灵城市
Myth Nantar	City of Destinies	迷斯南塔	命运之城			坠星海海底的海精灵城市
Najara		纳迦拉				西央土国家
Narfell		纳菲尔				恶魔之地国家
Nelanther Isles	the Nelanther	耐兰瑟尔群岛				无痕海岛屿群
Netheril		耐瑟瑞尔		耐色瑞尔		费伦古帝国
Neverwinter	City of Skilled Hands、Jewel of the North	无冬城	巧手之城、北地宝珠	绝冬城		剑湾城市
Okoth	Empire of the Shimmering Sun	欧寇什	闪耀太阳帝国	奥寇斯		撒鲁克国家
Osse		奥斯				卡拉图东方大陆
Pirate Isles		海盗群岛				坠星海中部群岛
Rashemen	Land of Berserkers	莱瑟曼	狂战士之国		/rɑːˈʃɛmɛn/ rah-SHEH-men	绝域东境国家
Ruathym		卢厄费姆岛		洛瑟姆岛	/ˈruːəθɪm/ ROO-uh-thim	月影群岛以北岛屿
Sakkors		萨科斯				耐瑟浮空城
Sand Kings		沙王				贝戴人中的反耐瑟抵抗军
Sarrukh	saurians、progenitors of the Scaled Ones	撒鲁克	蜥蜴人、有鳞类之祖	撒鲁克巫虺		费伦创造者种族之一
Sea of Fallen Stars	Inner Sea	坠星海	内海	陨星海		费伦中部内海
Sembia		桑比亚				东央土国家
Serpent Hills		蛇丘		毒蛇山脉		西央土地名
Shadovar		暗影之民		黯影城民、阴魂人		从堕影冥界归来的耐瑟人
Shou Lung		受龙		翔龙		卡拉图国家
Smoking Mountains	Smoky Mountains、Marthessel	燃烟山脉	烟熏山、马瑟塞尔			恩瑟山脉
Sossal		索萨尔			/ˈsɔːsɑːl/ SAW-sall	欧吕尔之牙地区国家
Spine of the World	the Wall	世界之脊	墙			费伦北部山脉
Stonelands		岩地				科米尔北方区域
Sword Coast	the Empty Lands	剑湾	无国之地	剑之海岸		费伦西部海岸
Thar	Great Gray Land	萨尔	大灰地			月海地区荒地
Thay	Bread Basket of the East	塞尔	东方的面包篮			绝域东境国家
The Demonlands		恶魔之地				费伦东北部地区
the North	the Savage North、Northwest Faerûn	北地	蛮荒北地、西北费伦			费伦西北地理区域
Thesk	The Gateway to the East	赛斯克	往东方的门户			绝域东境国家
Threskel		费雷斯科		色雷斯凯	https://www.youtube.com/watch?v=fGDt-VLY1Ms&t=1220s	阿兰勃海国家
Tilver’s Gap		提凡峡谷				科米尔、岩地、谷地接壤区域
Trackless Sea	Taylola、the Eastern Ocean	无痕海	泰洛拉、东海	无踪海		费伦西部大洋
Tuern		图恩岛			/ˈtʊərn/ TOORN	无痕海岛屿
Tuigan		图坎				游牧之地部落
Tymanther		泰曼瑟				阿兰勃海国家
Unapproachable East		绝域东境				费伦东北部地区
Unfettered		无拘者				被底栖魔鱼主权国改造后能飞行的水生生物
Unther		恩瑟				阿兰勃海国家
Vaasa		瓦萨			/ˈvɑːsɑː/ VAH-sah	恶魔之地国家
Vesperin		维斯佩林				瀚土国家
Warlock Knights		魔契骑士		邪术骑士		恶魔之地军事组织
Waterdeep	City of Splendors、Crown of the North	深水城	光辉之城、北地冠冕			剑湾城市
Western Heartlands		西央土		西哈特兰德		费伦西部地理区域
Westgate	Gateway to the West	西门城	西方之门户			巨龙海岸城市
Wychlaran		维卡兰		女巫		莱瑟曼女巫的称呼，古语中意为“智慧老女人”
Xxiphu		希弗		艾克西普		费伦的底栖魔鱼浮空城
Year of Blue Fire		蓝焰之年				即1385 DR，奥法魔疫发生之年
Zakhara	Land of Fate	扎哈拉	命运之地		/zɑːˈkærɑː/ zah-KARR-ah	费伦东南方大陆
Zhentarim	Black Network、Black Robes、Keepers、Zheeks、Zhentarians	散塔林会	黑暗情报网、黑袍人、堡民、散塔林、散塔林人		/zzˈhɛntɑːrɪm/ zz-HENT-ah-rim	费伦秘密组织
Zhentil Keep	Thargate Keep	散提尔堡	萨尔门堡		/zˈhɛntɪl kip/ z-HENT-ill keep	月海地区城市
